time_stamp,cpu_util_percent,mem_util_percent,net_in,net_out,disk_io_percent
2120,0.22,0.89,35.53,24.42,0.04
2140,0.24,0.89,35.53,24.42,0.04
2220,0.22,0.9,35.53,24.42,0.04
2350,0.25,0.89,35.53,24.43,0.05
2520,0.41,0.93,35.54,24.43,0.04
2540,0.37,0.92,35.54,24.43,0.04
2640,0.38,0.93,35.54,24.43,0.04
2660,0.37,0.91,35.54,24.43,0.04
2740,0.29,0.91,35.54,24.43,0.04
2940,0.32,0.92,35.54,24.43,0.05
3000,0.29,0.93,35.54,24.43,0.05
3060,0.44,0.94,35.54,24.43,0.05
3140,0.29,0.92,35.55,24.43,0.04
3150,0.29,0.92,35.55,24.43,0.04
3240,0.25,0.91,35.55,24.43,0.04
3250,0.29,0.91,35.55,24.43,0.04
3270,0.26,0.91,35.55,24.43,0.04
3280,0.28,0.91,35.55,24.44,0.04
3300,0.26,0.91,35.55,24.44,0.03
3410,0.25,0.91,35.55,24.44,0.04
3490,0.24,0.91,35.55,24.44,0.04
3510,0.24,0.91,35.55,24.44,0.04
3660,0.26,0.92,35.55,24.44,0.04
3770,0.28,0.94,35.56,24.44,0.04
3800,0.32,0.95,35.56,24.44,0.04
3880,0.31,0.96,35.56,24.44,0.04
4060,0.29,0.94,35.56,24.44,0.04
4140,0.26,0.92,35.56,24.44,0.04
4350,0.22,0.9,35.56,24.45,0.04
4450,0.25,0.91,35.57,24.45,0.03
4490,0.2,0.9,35.57,24.45,0.03
4580,0.3,0.91,35.57,24.45,0.04
4710,0.4,0.97,35.57,24.45,0.04
4760,0.55,0.93,35.57,24.45,0.07
4770,0.52,0.93,35.57,24.45,0.07
4940,0.33,0.9,35.58,24.45,0.04
5160,0.38,0.87,35.58,24.46,0.05
5260,0.4,0.88,35.58,24.46,0.04
5320,0.4,0.87,35.58,24.46,0.06
5340,0.34,0.84,35.58,24.46,0.1
5490,0.46,0.88,35.59,24.46,0.05
5560,0.49,0.89,35.59,24.46,0.04
5620,0.47,0.89,35.59,24.46,0.04
5720,0.43,0.87,35.59,24.47,0.04
5750,0.43,0.87,35.59,24.47,0.04
5860,0.34,0.86,35.6,24.47,0.05
5970,0.29,0.85,35.6,24.47,0.04
6150,0.25,0.82,35.6,24.47,0.07
6370,0.34,0.85,35.61,24.48,0.05
6580,0.38,0.9,35.61,24.48,0.04
6830,0.36,0.88,35.62,24.48,0.05
6840,0.34,0.88,35.62,24.48,0.05
6990,0.32,0.87,35.62,24.49,0.03
7020,0.31,0.86,35.62,24.49,0.05
7060,0.37,0.87,35.62,24.49,0.05
7290,0.35,0.88,35.63,24.49,0.06
7320,0.31,0.87,35.63,24.49,0.04
7440,0.36,0.9,35.63,24.49,0.04
7520,0.33,0.89,35.63,24.49,0.05
