time_stamp,cpu_util_percent,mem_util_percent,net_in,net_out,disk_io_percent
40,0.3,0.79,43.41,37.38,0.03
90,0.26,0.79,43.41,37.39,0.05
180,0.21,0.77,43.41,37.39,0.04
200,0.24,0.77,43.41,37.39,0.04
250,0.24,0.77,43.41,37.39,0.05
370,0.33,0.79,43.41,37.39,0.05
460,0.37,0.83,43.41,37.39,0.06
470,0.37,0.83,43.41,37.39,0.06
490,0.35,0.83,43.41,37.39,0.08
620,0.37,0.83,43.42,37.4,0.08
650,0.36,0.83,43.42,37.4,0.08
660,0.35,0.83,43.42,37.4,0.05
690,0.35,0.8,43.42,37.4,0.05
810,0.29,0.8,43.42,37.4,0.06
860,0.32,0.8,43.42,37.4,0.09
2470,0.29,0.82,43.45,37.43,0.04
2560,0.24,0.81,43.45,37.43,0.07
2760,0.36,0.81,43.46,37.43,0.15
2950,0.46,0.81,43.46,37.43,0.23
3270,0.28,0.83,43.46,37.44,0.03
3420,0.3,0.82,43.47,37.44,0.04
3480,0.25,0.82,43.47,37.44,0.03
3560,0.26,0.83,43.47,37.44,0.03
3570,0.27,0.84,43.47,37.44,0.03
3870,0.3,0.78,43.47,37.45,0.03
3880,0.29,0.78,43.47,37.45,0.03
3930,0.3,0.8,43.48,37.45,0.03
3940,0.29,0.8,43.48,37.45,0.03
4080,0.3,0.79,43.48,37.45,0.04
4090,0.31,0.79,43.48,37.45,0.04
4350,0.22,0.77,43.48,37.46,0.03
4380,0.24,0.78,43.48,37.46,0.03
4410,0.24,0.78,43.48,37.46,0.03
4420,0.23,0.78,43.48,37.46,0.03
4450,0.25,0.78,43.48,37.46,0.04
4500,0.2,0.75,43.48,37.46,0.02
4760,0.59,0.84,43.49,37.46,0.04
4790,0.5,0.84,43.49,37.46,0.04
4870,0.43,0.8,43.49,37.46,0.07
4880,0.41,0.78,43.49,37.46,0.07
4890,0.4,0.78,43.49,37.47,0.07
4920,0.39,0.75,43.49,37.47,0.04
5430,0.42,0.76,43.5,37.47,0.08
5510,0.46,0.76,43.5,37.48,0.05
5580,0.44,0.77,43.5,37.48,0.03
5650,0.4,0.74,43.51,37.48,0.05
5700,0.38,0.75,43.51,37.48,0.04
5720,0.39,0.75,43.51,37.48,0.04
5810,0.36,0.74,43.51,37.48,0.03
6210,0.29,0.72,43.52,37.49,0.03
6330,0.32,0.73,43.52,37.49,0.05
6370,0.32,0.73,43.52,37.49,0.04
6450,0.3,0.74,43.52,37.49,0.05
6460,0.34,0.74,43.52,37.49,0.05
6640,0.4,0.78,43.52,37.5,0.02
6750,0.39,0.77,43.53,37.5,0.03
6820,0.35,0.76,43.53,37.5,0.04
6910,0.37,0.76,43.53,37.5,0.04
6990,0.32,0.76,43.53,37.5,0.03
7130,0.34,0.78,43.54,37.51,0.11
7650,0.29,0.77,43.55,37.52,0.05
7680,0.29,0.77,43.55,37.52,0.05
7790,0.28,0.73,43.55,37.52,0.03
7810,0.42,0.74,43.55,37.52,0.03
7950,0.36,0.76,43.56,37.52,0.03
8030,0.33,0.75,43.56,37.52,0.03
8180,0.36,0.75,43.56,37.52,0.03
8250,0.35,0.74,43.56,37.52,0.04
8430,0.37,0.72,43.57,37.53,0.06
8540,0.34,0.72,43.57,37.53,0.04
8570,0.37,0.74,43.57,37.53,0.04
8590,0.39,0.74,43.57,37.53,0.2
8670,0.44,0.75,43.57,37.53,0.25
8810,0.37,0.74,43.57,37.53,0.31
8950,0.29,0.72,43.58,37.54,0.05
8990,0.31,0.72,43.58,37.54,0.05
9110,0.41,0.72,43.58,37.54,0.05
9130,0.38,0.72,43.58,37.54,0.11
9180,0.39,0.72,43.58,37.54,0.06
9280,0.41,0.73,43.58,37.54,0.05
9540,0.37,0.73,43.59,37.54,0.04
9660,0.28,0.72,43.59,37.55,0.03
9880,0.29,0.71,43.59,37.55,0.03
9940,0.31,0.73,43.6,37.55,0.03
9970,0.3,0.71,43.6,37.55,0.03
10070,0.21,0.7,43.6,37.55,0.04
10120,0.28,0.7,43.6,37.55,0.02
10160,0.39,0.71,43.6,37.55,0.02
10280,0.37,0.72,43.6,37.55,0.03
10350,0.3,0.7,43.6,37.56,0.03
10560,0.32,0.74,43.61,37.56,0.03
10800,0.33,0.74,43.61,37.56,0.03
10830,0.36,0.74,43.61,37.56,0.03
10920,0.37,0.73,43.62,37.56,0.04
10980,0.39,0.75,43.62,37.56,0.03
11010,0.43,0.74,43.62,37.57,0.03
11040,0.46,0.75,43.62,37.57,0.03
11230,0.34,0.75,43.63,37.57,0.03
11300,0.27,0.75,43.63,37.57,0.04
11430,0.34,0.74,43.63,37.57,0.03
11530,0.29,0.74,43.64,37.57,0.03
11630,0.29,0.73,43.64,37.57,0.04
15690,0.38,0.81,43.73,37.63,0.08
15820,0.34,0.81,43.73,37.64,0.04
15900,0.29,0.8,43.73,37.64,0.05
15930,0.35,0.81,43.73,37.64,0.05
15940,0.41,0.81,43.73,37.64,0.05
16010,0.29,0.79,43.73,37.64,0.06
16090,0.31,0.79,43.73,37.64,0.03
16370,0.31,0.79,43.74,37.64,0.04
16380,0.29,0.79,43.74,37.64,0.06
16400,0.28,0.79,43.74,37.64,0.06
16870,0.31,0.79,43.75,37.65,0.07
16900,0.27,0.79,43.75,37.65,0.07
16910,0.27,0.79,43.75,37.65,0.07
17050,0.29,0.78,43.75,37.65,0.04
17100,0.23,0.77,43.75,37.65,0.03
17260,0.41,0.8,43.76,37.66,0.05
17290,0.39,0.8,43.76,37.66,0.06
17320,0.36,0.8,43.76,37.66,0.06
17370,0.44,0.81,43.76,37.66,0.06
17460,0.4,0.82,43.76,37.66,0.05
17480,0.39,0.81,43.76,37.66,0.05
18440,0.32,0.81,43.77,37.67,0.05
18460,0.3,0.8,43.77,37.67,0.05
18470,0.29,0.81,43.77,37.67,0.05
18480,0.28,0.8,43.77,37.67,0.04
18490,0.28,0.8,43.77,37.67,0.04
18530,0.28,0.81,43.78,37.67,0.04
18580,0.28,0.79,43.78,37.67,0.04
18610,0.34,0.8,43.78,37.67,0.04
18730,0.38,0.82,43.78,37.68,0.03
18760,0.39,0.83,43.78,37.68,0.03
18930,0.27,0.8,43.79,37.68,0.03
19060,0.3,0.75,43.79,37.68,0.03
19110,0.24,0.77,43.79,37.68,0.04
19170,0.23,0.75,43.79,37.68,0.03
19340,0.2,0.74,43.79,37.69,0.02
19380,0.2,0.75,43.79,37.69,0.03
19400,0.25,0.76,43.79,37.69,0.03
19530,0.54,0.79,43.8,37.69,0.03
19550,0.51,0.77,43.8,37.69,0.03
19840,0.42,0.79,43.81,37.69,0.08
19870,0.45,0.79,43.81,37.69,0.09
20140,0.51,0.83,43.82,37.7,0.15
20420,0.48,0.81,43.83,37.7,0.19
20460,0.53,0.83,43.83,37.7,0.19
20470,0.49,0.83,43.83,37.71,0.19
20920,0.43,0.82,43.84,37.71,0.1
21090,0.45,0.85,43.84,37.72,0.07
21130,0.4,0.85,43.84,37.72,0.07
21190,0.39,0.84,43.84,37.72,0.05
21220,0.39,0.83,43.84,37.72,0.05
21290,0.43,0.83,43.84,37.72,0.06
22520,0.75,0.85,43.88,37.74,0.09
22650,0.75,0.87,43.89,37.75,0.07
22830,0.76,0.87,43.9,37.75,0.07
22970,0.71,0.85,43.9,37.75,0.07
22980,0.7,0.85,43.9,37.75,0.05
23040,0.58,0.84,43.9,37.76,0.05
23140,0.53,0.81,43.91,37.76,0.06
23380,0.62,0.82,43.91,37.76,0.07
23440,0.58,0.81,43.92,37.76,0.1
23530,0.56,0.82,43.92,37.77,0.06
23570,0.54,0.82,43.92,37.77,0.06
23620,0.59,0.83,43.92,37.77,0.05
23760,0.64,0.85,43.93,37.77,0.05
23800,0.6,0.85,43.93,37.77,0.05
23860,0.58,0.85,43.93,37.77,0.11
23940,0.67,0.87,43.93,37.78,0.06
