time_stamp,cpu_util_percent,mem_util_percent,net_in,net_out,disk_io_percent
230,0.14,0.9,40.69,35.32,0.02
460,0.37,0.94,40.69,35.32,0.03
1050,0.2,0.9,40.7,35.33,0.02
1130,0.3,0.92,40.7,35.33,0.03
1440,0.21,0.91,40.71,35.34,0.03
1570,0.27,0.94,40.71,35.34,0.03
1590,0.24,0.93,40.71,35.34,0.03
1650,0.31,0.94,40.71,35.34,0.02
1690,0.28,0.95,40.71,35.34,0.03
1830,0.21,0.94,40.71,35.34,0.03
1860,0.25,0.95,40.71,35.34,0.03
2330,0.19,0.92,40.72,35.35,0.05
2340,0.19,0.92,40.72,35.35,0.03
2430,0.2,0.93,40.72,35.35,0.03
2450,0.25,0.95,40.72,35.35,0.03
2550,0.2,0.9,40.72,35.35,0.05
2600,0.21,0.91,40.72,35.35,0.03
2700,0.19,0.88,40.72,35.35,0.02
2720,0.2,0.88,40.72,35.35,0.02
2750,0.2,0.89,40.72,35.35,0.02
2840,0.23,0.89,40.72,35.35,0.03
2870,0.21,0.89,40.72,35.35,0.03
2980,0.26,0.89,40.72,35.36,0.07
3180,0.25,0.9,40.73,35.36,0.03
3230,0.2,0.9,40.73,35.36,0.03
3520,0.21,0.91,40.73,35.36,0.03
3660,0.23,0.93,40.73,35.36,0.03
3670,0.25,0.93,40.73,35.36,0.03
3730,0.22,0.94,40.73,35.36,0.04
4110,0.21,0.91,40.74,35.37,0.04
4220,0.17,0.91,40.74,35.37,0.02
4230,0.22,0.9,40.74,35.37,0.02
4350,0.17,0.89,40.74,35.37,0.03
4360,0.2,0.9,40.74,35.37,0.03
4400,0.25,0.91,40.74,35.37,0.03
4560,0.27,0.9,40.74,35.38,0.04
4570,0.29,0.91,40.74,35.38,0.04
4590,0.33,0.92,40.74,35.38,0.04
4660,0.33,0.94,40.74,35.38,0.03
4710,0.34,0.95,40.74,35.38,0.04
4750,0.58,0.97,40.75,35.38,0.04
4810,0.51,0.97,40.75,35.38,0.08
4930,0.36,0.91,40.75,35.38,0.08
4940,0.35,0.92,40.75,35.38,0.08
4970,0.3,0.9,40.75,35.38,0.08
5010,0.32,0.89,40.75,35.38,0.03
5020,0.35,0.89,40.75,35.38,0.03
5140,0.42,0.91,40.75,35.38,0.07
5160,0.37,0.91,40.75,35.38,0.07
5270,0.35,0.91,40.75,35.39,0.03
5360,0.31,0.88,40.76,35.39,0.04
5470,0.43,0.92,40.76,35.39,0.05
5480,0.4,0.91,40.76,35.39,0.05
5670,0.39,0.94,40.76,35.39,0.04
5720,0.4,0.92,40.76,35.39,0.03
5800,0.36,0.92,40.77,35.4,0.05
6100,0.31,0.9,40.77,35.4,0.03
6130,0.3,0.9,40.77,35.4,0.03
6540,0.33,0.92,40.78,35.41,0.03
6850,0.36,0.91,40.78,35.41,0.04
6880,0.34,0.91,40.78,35.41,0.04
6890,0.36,0.91,40.78,35.41,0.04
6920,0.36,0.92,40.78,35.41,0.03
7000,0.3,0.92,40.79,35.41,0.03
7050,0.29,0.92,40.79,35.42,0.04
7270,0.43,0.94,40.79,35.42,0.06
7380,0.38,0.95,40.79,35.42,0.06
7550,0.37,0.93,40.8,35.42,0.05
7560,0.37,0.93,40.8,35.42,0.06
7600,0.4,0.94,40.8,35.42,0.06
7610,0.36,0.92,40.8,35.43,0.06
7830,0.25,0.91,40.8,35.43,0.04
7890,0.29,0.91,40.8,35.43,0.05
7920,0.32,0.91,40.8,35.43,0.06
8060,0.27,0.91,40.81,35.43,0.04
8320,0.26,0.89,40.81,35.44,0.04
8340,0.29,0.9,40.81,35.44,0.04
11510,0.28,0.93,40.87,35.48,0.02
11640,0.27,0.92,40.87,35.48,0.04
11710,0.28,0.91,40.87,35.48,0.05
11790,0.27,0.91,40.87,35.48,0.04
11840,0.33,0.91,40.87,35.48,0.03
11970,0.28,0.89,40.88,35.48,0.04
11990,0.27,0.88,40.88,35.48,0.04
12090,0.26,0.88,40.88,35.49,0.05
12100,0.27,0.88,40.88,35.49,0.05
12310,0.39,0.91,40.88,35.49,0.05
12360,0.42,0.92,40.88,35.49,0.05
12400,0.39,0.93,40.88,35.49,0.05
12730,0.53,0.93,40.89,35.49,0.07
12740,0.43,0.92,40.89,35.49,0.07
12760,0.33,0.88,40.89,35.49,0.07
12810,0.34,0.87,40.89,35.49,0.08
12940,0.35,0.83,40.89,35.5,0.08
12950,0.34,0.83,40.89,35.5,0.08
13100,0.28,0.84,40.9,35.5,0.08
13170,0.31,0.84,40.9,35.5,0.07
13210,0.39,0.85,40.9,35.5,0.05
13240,0.35,0.85,40.9,35.5,0.05
13270,0.34,0.84,40.9,35.5,0.09
13380,0.39,0.87,40.9,35.5,0.03
13430,0.33,0.86,40.9,35.5,0.03
13500,0.32,0.87,40.9,35.5,0.05
13530,0.37,0.88,40.9,35.5,0.05
13620,0.31,0.86,40.9,35.5,0.04
13770,0.37,0.87,40.91,35.51,0.03
13780,0.36,0.88,40.91,35.51,0.03
