time_stamp,cpu_util_percent,mem_util_percent,net_in,net_out,disk_io_percent
50,0.29,0.85,34.6,26.98,0.03
200,0.23,0.85,34.61,26.99,0.04
320,0.22,0.85,34.61,26.99,0.02
520,0.42,0.91,34.61,26.99,0.04
650,0.43,0.9,34.62,26.99,0.05
700,0.36,0.88,34.62,26.99,0.12
770,0.35,0.87,34.62,27.0,0.04
800,0.36,0.88,34.62,27.0,0.03
930,0.35,0.87,34.62,27.0,0.04
960,0.35,0.87,34.62,27.0,0.03
970,0.42,0.88,34.62,27.0,0.03
980,0.39,0.88,34.62,27.0,0.03
1010,0.37,0.88,34.62,27.0,0.03
1050,0.47,0.89,34.62,27.0,0.03
1140,0.42,0.92,34.62,27.0,0.04
1170,0.43,0.91,34.63,27.0,0.04
1240,0.41,0.9,34.63,27.0,0.03
1260,0.45,0.89,34.63,27.01,0.05
1280,0.4,0.89,34.63,27.01,0.05
1350,0.34,0.88,34.63,27.01,0.03
1510,0.37,0.88,34.63,27.01,0.03
1530,0.39,0.89,34.63,27.01,0.03
1660,0.4,0.91,34.63,27.01,0.03
1670,0.4,0.91,34.63,27.01,0.03
1740,0.34,0.9,34.64,27.01,0.04
1790,0.35,0.91,34.64,27.01,0.04
1800,0.33,0.91,34.64,27.01,0.04
1870,0.35,0.91,34.64,27.01,0.05
1890,0.32,0.91,34.64,27.01,0.05
1940,0.29,0.88,34.64,27.02,0.04
2110,0.31,0.86,34.64,27.02,0.04
2280,0.33,0.86,34.64,27.02,0.06
2310,0.26,0.86,34.64,27.02,0.06
2320,0.25,0.86,34.64,27.02,0.06
2370,0.3,0.87,34.64,27.02,0.03
2400,0.28,0.87,34.65,27.02,0.03
2900,0.42,0.87,34.65,27.03,0.03
2980,0.43,0.89,34.66,27.03,0.04
3000,0.41,0.9,34.66,27.03,0.04
3010,0.51,0.9,34.66,27.03,0.04
3070,0.42,0.9,34.66,27.03,0.03
3080,0.39,0.9,34.66,27.03,0.03
