start_time,end_time,avg_cpu_usage,avg_mem_usage,max_cpu_usage,max_mem_usage
300000000,600000000,0.000106811523437,0.0005941390991210001,0.000384330749511,0.0005950927734370001
600000000,900000000,0.000110626220703,0.0005941390991210001,0.0008058547973630001,0.0005960464477530001
900000000,1200000000,0.000110626220703,0.0005941390991210001,0.000443458557128,0.00059700012207
1200000000,1500000000,0.000112533569335,0.0005950927734370001,0.000517845153808,0.00059700012207
1500000000,1800000000,0.000104904174804,0.0005960464477530001,0.0006332397460930001,0.000597953796386
1800000000,2100000000,0.000102996826171,0.0005950927734370001,0.000394821166992,0.000597953796386
2100000000,2400000000,0.000101089477539,0.0005960464477530001,0.0004367828369140001,0.00059700012207
2400000000,2700000000,0.000113487243652,0.0005950927734370001,0.0006265640258780001,0.0005960464477530001
2700000000,3000000000,0.000116348266601,0.0005950927734370001,0.001537322998046,0.0005960464477530001
3000000000,3300000000,0.000107765197753,0.0005950927734370001,0.000603675842285,0.0005950927734370001
3300000000,3600000000,9.727478027343751e-05,0.0005950927734370001,0.00031471252441400005,0.0005960464477530001
3600000000,3900000000,9.727478027343751e-05,0.0005950927734370001,0.000394821166992,0.0005960464477530001
3900000000,4200000000,0.000102996826171,0.0005950927734370001,0.00047969818115200006,0.0005960464477530001
4200000000,4500000000,9.822845458984376e-05,0.0005950927734370001,0.000528335571289,0.0005960464477530001
4500000000,4800000000,9.441375732421876e-05,0.0005950927734370001,0.000351905822753,0.0005960464477530001
4800000000,5100000000,9.346008300781251e-05,0.0005960464477530001,0.000290870666503,0.00059700012207
5100000000,5400000000,9.346008300781251e-05,0.0005960464477530001,0.000328063964843,0.00059700012207
5400000000,5700000000,9.1552734375e-05,0.0005960464477530001,0.00035381317138600003,0.0005960464477530001
5700000000,6000000000,9.441375732421876e-05,0.0005950927734370001,0.0003662109375,0.00059700012207
6000000000,6300000000,9.727478027343751e-05,0.0005950927734370001,0.000654220581054,0.0005960464477530001
6300000000,6600000000,0.000100135803222,0.0005950927734370001,0.000342369079589,0.0005950927734370001
6600000000,6900000000,0.000100135803222,0.0005941390991210001,0.00031375885009700004,0.0005960464477530001
6900000000,7200000000,0.000111579895019,0.0005941390991210001,0.0004777908325190001,0.0005950927734370001
7200000000,7500000000,0.000109672546386,0.0005941390991210001,0.000388145446777,0.0005950927734370001
7500000000,7800000000,0.000110626220703,0.0005941390991210001,0.002857208251953,0.0005950927734370001
7800000000,8100000000,0.00010871887207,0.0005941390991210001,0.00074291229248,0.00059700012207
8100000000,8400000000,0.000102996826171,0.0005950927734370001,0.000388145446777,0.00059700012207
8400000000,8700000000,0.000110626220703,0.0005960464477530001,0.00045967102050700005,0.00059700012207
8700000000,9000000000,0.000109672546386,0.0005960464477530001,0.000481605529785,0.00059700012207
